dis,sta,add,das,state,cha,fee,way,ope,sty,no,Latitude,Longitude
板橋區,環保局民族路辦公室地,新北市板橋區民族路57號,公務機關-環保局,良好,否,不收費,無,否,充電箱,8,25.0090649,121.464847
板橋區,環保局民族路辦公室外側,新北市板橋區民族路57號,公務機關-環保局,良好,否,不收費,無,是,充電箱,2,25.0090649,121.464847
八里區,八里垃圾掩埋場土地公廟,新北市八里區下罟里中山路三段403號,公務機關-環保局,良好,否,不收費,無,是,充電座,4,25.1386506,121.3771501
土城區,廣福市民活動中心,新北市土城區學府路1段99巷底1樓,公務機關-其他,良好,否,不收費,無,是,充電箱,2,24.988558,121.4593375
板橋區,新北市政府稅捐稽徵處,新北市板橋區中山路一段143號,公務機關-其他,良好,否,不收費,無,是,充電箱,2,25.0115268,121.4643115
坪林區,坪林國中公車站,新北市坪林區國中路4號,公務機關-其他,良好,否,不收費,無,是,充電座,6,24.937617,121.712678
雙溪區,雙溪火車站,新北市雙溪區新基村朝陽街1號,公務機關-其他,良好,否,不收費,無,是,充電座,6,25.038562,121.866504
淡水區,淡水區老人活動中心(中興市民活動中心),新北市淡水區水源街1段29號,公務機關-其他,良好,否,不收費,無,是,充電箱,2,25.1722097,121.4445892
板橋區,新北市政府警察局板橋分局,新北市板橋區文化路1段52號,公務機關-其他,良好,無,不收費,,是,無,1,25.0187829,121.4652441
板橋區,新北市政府警察局板橋分局信義派出所,新北市板橋區廣權路28號,公務機關-其他,良好,無,不收費,,是,充電箱,2,24.9912758,121.461783
板橋區,新北市政府警察局板橋分局沙侖派出所,新北市板橋區溪北路111號,公務機關-其他,良好,無,不收費,,是,充電座,2,24.988504,121.4305364
板橋區,新北市板橋殯儀館,新北市板橋區中正路560號,公務機關-其他,良好,無,不收費,,是,充電箱,2,25.0278672,121.456763
鶯歌區,鶯歌陶瓷博物館後停車場,新北市鶯歌區文化路200號,公務機關-其他,良好,無,不收費,,是,無,2,24.949251,121.352032
三重區,三和國中,新北市三重區三和路四段216號,國中小學,良好,否,不收費,無,否,插頭式,4,25.0763987,121.4867838
三重區,明志國中,新北市三重區中正北路107號,國中小學,良好,否,不收費,無,否,插頭式,6,25.0635145,121.488926
三重區,集美國小,新北市三重區集美街10號,國中小學,良好,否,不收費,無,否,插頭式,7,25.0564706,121.4879933
土城區,土城國中,新北市土城區永寧路18號,國中小學,良好,否,不收費,無,否,插頭式,6,24.9626068,121.4299712
中和區,自強國中,新北市中和區莒光路191號,國中小學,良好,否,不收費,無,是,插頭式,4,24.9988043,121.4726327
林口區,麗林國小,新北市林口區公園路46號,國中小學,良好,否,不收費,無,否,插頭式,10,25.0687415,121.3679032
板橋區,後埔國小,新北市板橋區重慶路157號,國中小學,良好,否,不收費,無,否,插頭式,8,25.0033595,121.4626678
淡水區,育英國小,新北市淡水區埤島里14號,國中小學,良好,否,不收費,無,否,插頭式,6,25.1714198,121.4460171
淡水區,興仁國小,新北市淡水區興仁路101巷10號,國中小學,良好,否,不收費,無,否,插頭式,4,25.2175649,121.4512751
新莊區,中信國小,新北市新莊區中信街168號,國中小學,良好,否,不收費,無,否,插頭式,3,25.0562731,121.4480446
新莊區,興化國小,新北市新莊區五工二路50巷2號,國中小學,良好,否,不收費,無,是,插頭式,6,25.065854,121.461594
新莊區,裕民國小,新北市新莊區裕民街123號,國中小學,良好,否,不收費,無,否,插頭式,4,25.0218731,121.4181399
新莊區,丹鳳高中,新北市新莊區龍安路72號,高中專科,良好,否,不收費,無,否,插頭式,6,25.0210049,121.4165326
